City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
0,Nicoya,Cr,84.13,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
1,Vaini,To,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
3,Kapaa,Us,81.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Port Blair,In,75.24,thunderstorm with light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
24,Isla,Ph,76.17,overcast clouds,15.8939,120.3036,Green Apple Inn
29,San Andres,Co,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
35,Rikitea,Pf,75.72,light rain,-23.1203,-134.9692,People ThankYou
41,San Cristobal,Ve,80.78,overcast clouds,7.7669,-72.225,Pirineos
44,Avarua,Ck,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
46,Butaritari,Ki,81.45,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
50,Lazaro Cardenas,Mx,85.03,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
54,Meulaboh,Id,77.0,overcast clouds,4.1363,96.1285,Kost Pria
56,Bandarbeyla,So,81.99,overcast clouds,9.4942,50.8122,JABIR HOTEL
60,Itoman,Jp,75.22,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
61,Idah,Ng,77.05,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
68,Cockburn Town,Tc,80.96,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
80,Sao Filipe,Cv,75.92,scattered clouds,14.8961,-24.4956,Hotel Xaguate
81,Mahebourg,Mu,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,Puerto Ayora,Ec,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
85,Puerto Escondido,Mx,89.06,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
87,Atuona,Pf,77.94,few clouds,-9.8,-139.0333,Villa Enata
91,Bengkulu,Id,75.74,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
92,Qui Nhon,Vn,77.23,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
95,Bonthe,Sl,80.62,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
