City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
0,Nicoya,Cr,10.1483,-85.452,84.13,67,98,5.91,overcast clouds
1,Vaini,To,-21.2,-175.2,75.36,78,40,6.91,scattered clouds
2,Antalaha,Mg,-14.9003,50.2788,70.18,81,52,7.63,broken clouds
3,Kapaa,Us,22.0752,-159.319,81.12,86,40,12.66,scattered clouds
4,Juneau,Us,58.3019,-134.4197,63.84,66,75,8.05,heavy intensity rain
5,Busselton,Au,-33.65,115.3333,60.13,78,63,1.95,broken clouds
6,Port Blair,In,11.6667,92.75,75.24,88,100,11.5,thunderstorm with light rain
7,Yellowknife,Ca,62.456,-114.3525,46.92,36,20,12.66,few clouds
8,Dunedin,Nz,-45.8742,170.5036,45.81,63,100,11.01,overcast clouds
9,Bluff,Nz,-46.6,168.3333,39.79,67,100,14.99,overcast clouds
10,Port Elizabeth,Za,-33.918,25.5701,55.69,100,75,10.36,moderate rain
11,Hobart,Au,-42.8794,147.3294,42.26,88,75,5.75,broken clouds
12,Dikson,Ru,73.5069,80.5464,30.04,79,100,12.28,overcast clouds
13,Vikhorevka,Ru,56.1201,101.1636,56.79,62,83,2.24,broken clouds
14,Ushuaia,Ar,-54.8,-68.3,55.06,62,20,9.22,few clouds
15,Thompson,Ca,55.7435,-97.8558,37.56,56,75,11.5,broken clouds
16,Albany,Us,42.6001,-73.9662,58.73,90,100,6.2,light rain
17,Lima,Pe,-12.0432,-77.0282,68.25,64,20,12.66,few clouds
18,Upernavik,Gl,72.7868,-56.1549,30.6,84,60,9.75,broken clouds
19,Hermanus,Za,-34.4187,19.2345,57.36,58,2,4.83,clear sky
20,Caravelas,Br,-17.7125,-39.2481,70.52,40,100,5.03,overcast clouds
21,Castro,Br,-24.7911,-50.0119,52.86,68,8,5.48,clear sky
22,Wabrzezno,Pl,53.2799,18.9477,63.9,71,100,8.19,overcast clouds
23,Araouane,Ml,18.9048,-3.5265,96.08,10,42,7.83,scattered clouds
24,Isla,Ph,15.8939,120.3036,76.17,93,100,3.69,overcast clouds
25,Mataura,Nz,-46.1927,168.8643,39.47,93,100,5.82,light rain
26,Yeppoon,Au,-23.1333,150.7333,69.58,90,100,20.71,overcast clouds
27,Tasiilaq,Gl,65.6145,-37.6368,37.56,86,100,5.19,overcast clouds
28,Oksfjord,No,70.2396,22.3479,39.27,89,48,6.85,scattered clouds
29,San Andres,Co,12.5847,-81.7006,86.02,74,75,8.05,broken clouds
30,Biograd Na Moru,Hr,43.9433,15.4519,66.76,52,6,4.94,clear sky
31,Ponta Do Sol,Pt,32.6667,-17.1,71.13,79,99,3.87,overcast clouds
32,Moussoro,Td,13.6408,16.4901,96.6,15,100,1.66,overcast clouds
33,Hilo,Us,19.7297,-155.09,94.28,78,75,13.8,broken clouds
34,Rocha,Uy,-34.4833,-54.3333,55.35,69,5,6.26,clear sky
35,Rikitea,Pf,-23.1203,-134.9692,75.72,80,90,11.68,light rain
36,Muravlenko,Ru,63.7898,74.523,52.92,90,100,14.85,moderate rain
37,Norman Wells,Ca,65.282,-126.8329,46.44,66,40,11.5,scattered clouds
38,Luderitz,Na,-26.6481,15.1594,54.97,82,1,11.25,clear sky
39,Gao,Ml,16.6362,1.637,91.71,6,3,8.08,clear sky
40,Jamestown,Us,42.097,-79.2353,71.53,71,40,11.5,scattered clouds
41,San Cristobal,Ve,7.7669,-72.225,80.78,61,100,7.43,overcast clouds
42,Arandis,Na,-22.4167,14.9667,58.48,66,0,11.63,clear sky
43,Wuzhou,Cn,23.4833,111.3167,74.35,83,98,0.94,overcast clouds
44,Avarua,Ck,-21.2078,-159.775,75.25,94,75,17.69,broken clouds
45,Qaanaaq,Gl,77.484,-69.3632,27.9,84,100,7.29,overcast clouds
46,Butaritari,Ki,3.0707,172.7902,81.45,69,100,13.94,overcast clouds
47,Karratha,Au,-20.7377,116.8463,73.72,73,0,6.29,clear sky
48,Carnarvon,Au,-24.8667,113.6333,69.13,65,33,13.69,scattered clouds
49,Cape Town,Za,-33.9258,18.4232,54.27,68,20,8.05,few clouds
50,Lazaro Cardenas,Mx,17.9583,-102.2,85.03,51,39,11.59,scattered clouds
51,Orbetello,It,42.4408,11.2196,68.02,79,9,1.95,clear sky
52,Flinders,Au,-34.5833,150.8552,53.38,72,98,10.8,overcast clouds
53,Kasongo-Lunda,Cd,-6.4667,16.8167,77.36,69,91,0.49,overcast clouds
54,Meulaboh,Id,4.1363,96.1285,77.0,90,98,4.21,overcast clouds
55,Punta Arenas,Cl,-53.15,-70.9167,44.62,100,75,5.75,broken clouds
56,Bandarbeyla,So,9.4942,50.8122,81.99,78,100,14.85,overcast clouds
57,Sao Francisco De Assis,Br,-29.5503,-55.1311,57.96,72,41,3.31,scattered clouds
58,Tupik,Ru,54.4253,119.9327,46.4,74,4,7.05,clear sky
59,Torbay,Ca,47.6666,-52.7314,54.88,69,75,17.27,broken clouds
60,Itoman,Jp,26.1247,127.6694,75.22,96,75,13.8,light rain
61,Idah,Ng,7.1065,6.7342,77.05,91,100,4.05,overcast clouds
62,Maldonado,Uy,-34.6667,-54.9167,56.59,72,18,6.26,few clouds
63,New Norfolk,Au,-42.7826,147.0587,41.9,77,4,2.57,clear sky
64,Grahamstown,Za,-33.3042,26.5328,51.94,96,100,13.76,moderate rain
65,Lata,Pt,40.1629,-8.3327,69.93,62,100,3.69,overcast clouds
66,Bardiyah,Ly,31.7561,25.0865,65.93,75,17,16.33,few clouds
67,Chuy,Uy,-33.6971,-53.4616,57.61,67,19,5.12,few clouds
68,Cockburn Town,Tc,21.4612,-71.1419,80.96,82,100,13.47,overcast clouds
69,Mar Del Plata,Ar,-38.0023,-57.5575,56.95,62,0,10.36,clear sky
70,Arrecife,Es,28.963,-13.5477,69.78,73,20,25.32,few clouds
71,Saint-Augustin,Ca,51.226,-58.6502,47.86,61,100,18.14,overcast clouds
72,Erzin,Tr,36.9559,36.2,63.19,83,31,1.72,scattered clouds
73,Guerrero Negro,Mx,27.9769,-114.0611,69.13,53,1,12.28,clear sky
74,Nelson Bay,Au,-32.7167,152.15,59.0,71,100,10.22,light rain
75,El Reno,Us,35.5323,-97.955,93.15,47,0,20.71,clear sky
76,Nadym,Ru,65.5333,72.5167,47.77,93,100,20.38,overcast clouds
77,Port Alfred,Za,-33.5906,26.891,58.17,94,100,5.01,moderate rain
78,Cherskiy,Ru,68.75,161.3,48.2,69,37,8.16,scattered clouds
79,Iguape,Br,-24.7081,-47.5553,65.66,59,5,10.07,clear sky
80,Sao Filipe,Cv,14.8961,-24.4956,75.92,67,27,11.52,scattered clouds
81,Mahebourg,Mu,-20.4081,57.7,75.49,78,75,8.05,broken clouds
82,Lasa,It,46.6166,10.7002,60.13,92,95,2.51,overcast clouds
83,Puerto Ayora,Ec,-0.7393,-90.3518,84.16,91,92,5.01,overcast clouds
84,Salina,Us,38.8403,-97.6114,94.01,41,0,16.11,clear sky
85,Puerto Escondido,Mx,15.85,-97.0667,89.06,53,57,11.5,broken clouds
86,Ituiutaba,Br,-18.9689,-49.465,62.71,47,100,6.33,overcast clouds
87,Atuona,Pf,-9.8,-139.0333,77.94,62,18,9.19,few clouds
88,Bindura,Zw,-17.3019,31.3306,59.61,65,39,0.78,scattered clouds
89,Poya,Nc,-21.35,165.15,73.74,87,4,5.46,clear sky
90,Mbandaka,Cd,0.0487,18.2603,73.78,92,100,3.47,overcast clouds
91,Bengkulu,Id,-3.8004,102.2655,75.74,89,24,3.4,few clouds
92,Qui Nhon,Vn,13.7667,109.2333,77.23,92,100,5.75,overcast clouds
93,Khatanga,Ru,71.9667,102.5,20.05,93,49,3.89,scattered clouds
94,Saint George,Us,37.1041,-113.5841,93.63,11,0,16.11,clear sky
95,Bonthe,Sl,7.5264,-12.505,80.62,84,35,7.85,scattered clouds
96,Souillac,Mu,-20.5167,57.5167,75.58,78,75,8.05,broken clouds
97,Tuktoyaktuk,Ca,69.4541,-133.0374,32.0,93,100,6.91,overcast clouds
98,Longyearbyen,Sj,78.2186,15.6401,30.04,74,75,13.8,broken clouds
99,Ambositra,Mg,-20.5167,47.25,55.62,92,100,2.89,overcast clouds
100,Namibe,Ao,-15.1961,12.1522,67.91,79,5,9.84,clear sky
101,Morant Bay,Jm,17.8815,-76.4093,91.71,71,94,13.44,overcast clouds
